Environment,Detector,Predicted_BER,Confidence,Metric_Confidence,Communication_Quality
Bus,LMMSE,0.2178764980302983,0.6733333333333333,0.9594478083681772,Poor
Bus,LMMSE,0.0831080769010754,0.6166666666666667,0.9594478083681772,Poor
Bus,LMMSE,0.022271147656377,0.6366666666666667,0.9594478083681772,Poor
Bus,LMMSE,0.0050734746467454,0.5966666666666667,0.9594478083681772,Moderate
Bus,MRC,2.108364643513473e-06,0.51,0.9594478083681772,Excellent
Bus,LMMSE,6.773540454445774e-08,0.74,0.9594478083681772,Excellent
Bus,LMMSE,1.3322494548406324e-08,0.92,0.9594478083681772,Excellent
Bus,MRC,0.3462419569244784,0.95,0.9594478083681772,Poor
Bus,MRC,0.2212072652426546,0.9666666666666668,0.9594478083681772,Poor
Bus,MRC,0.1363396364483728,0.9633333333333334,0.9594478083681772,Poor
Bus,MRC,0.053927360102768,0.9633333333333334,0.9594478083681772,Poor
Bus,MRC,0.011598370992402,0.93,0.9594478083681772,Poor
Bus,MRC,0.0005439490928356,0.88,0.9594478083681772,Good
Bus,MRC,1.9075209446860577e-07,0.7833333333333333,0.9594478083681772,Excellent
Bus,MRC,0.4036290177398263,0.77,0.9594478083681772,Poor
Bus,MRC,0.3287129093792537,0.94,0.9594478083681772,Poor
Bus,MRC,0.2454465989870195,0.9433333333333334,0.9594478083681772,Poor
Bus,MRC,0.1454479027723464,0.9433333333333334,0.9594478083681772,Poor
Bus,MRC,0.0659991233765366,0.9366666666666666,0.9594478083681772,Poor
Bus,MRC,0.0244022017795595,0.9233333333333332,0.9594478083681772,Poor
Bus,MRC,0.0024838839194915,0.92,0.9594478083681772,Moderate
